Date,Tourney,Winner_name,Loser_name,Mrkt_Open_Time,W_MrkOp_odds,L_MrkOp_odds,Mrkt_Cls_Time,W_MrkCl_odds,L_MrkCl_odds,Curr_Mrkt_Time,W_Max_odds,Curr_Mrkt_Time,L_Max_odds
20151102,Paris Masters,John Isner,Aljaz Bedene,20151102 2030,1.32,4.2,20151104 1323,1.34,3.9,20151104 1319,1.36,20151103 2112,4.4
20151102,Paris Masters,Roger Federer,Andreas Seppi,20151104 0712,1.08,13.5,20151104 1840,1.08,15.0,20151104 0712,1.08,20151104 1840,15.0
20151102,Paris Masters,Kei Nishikori,Jeremy Chardy,20151103 2213,1.43,3.35,20151104 0939,1.36,3.8,20151103 2227,1.45,20151104 0939,3.8
20151102,Paris Masters,Richard Gasquet,Leonardo Mayer,20151102 2006,1.32,4.1,20151104 1228,1.27,4.8,20151102 2006,1.32,20151104 1100,4.8
20151102,Paris Masters,David Goffin,Dusan Lajovic,20151103 1959,1.25,5.0,20151104 0937,1.26,4.8,20151104 0935,1.26,20151104 0843,5.3
20151102,Paris Masters,Andy Murray,Borna Coric,20151103 1946,1.12,9.6,20151104 1355,1.12,9.2,20151104 0948,1.15,20151103 2307,10.0
20151102,Paris Masters,Novak Djokovic,Gilles Simon,20151104 2045,1.07,15.5,20151105 1305,1.08,14.5,20151105 1251,1.08,20151104 2045,15.5
20151102,Paris Masters,Tomas Berdych,Jo Wilfried Tsonga,20151104 2123,1.91,2.1,20151105 1837,2.2,1.83,20151104 2244,2.34,20151104 2123,2.1
20151102,Paris Masters,Stanislas Wawrinka,Viktor Troicki,20151104 2101,1.25,5.0,20151105 1838,1.25,5.0,20151105 1637,1.27,20151105 0558,5.2
20151102,Paris Masters,Rafael Nadal,Kevin Anderson,20151105 0012,1.4,3.45,20151105 2030,1.36,3.75,20151105 0012,1.4,20151105 0622,4.0
20151102,Paris Masters,David Ferrer,Grigor Dimitrov,20151104 1605,1.68,2.46,20151105 1446,1.49,3.05,20151104 1605,1.68,20151105 1442,3.05
20151102,Paris Masters,John Isner,Roger Federer,20151104 2008,6.4,1.18,20151105 1518,7.8,1.15,20151105 1451,7.8,20151104 2008,1.18
20151102,Paris Masters,Richard Gasquet,Kei Nishikori,20151104 1447,2.14,1.89,20151105 1057,1.92,2.1,20151104 1447,2.14,20151105 1044,2.1
20151102,Paris Masters,Andy Murray,David Goffin,20151104 2140,1.17,7.2,20151105 0941,1.17,6.8,20151104 2344,1.18,20151104 2140,7.2
20151102,Paris Masters,Novak Djokovic,Tomas Berdych,20151116 1059,1.12,9.4,20151119 2022,1.09,11.0,20151116 1059,1.12,20151119 1010,12.0
20151102,Paris Masters,Stanislas Wawrinka,Rafael Nadal,20151113 1158,2.56,1.64,20151116 2014,2.34,1.75,20151113 1327,2.82,20151116 2002,1.79
20151102,Paris Masters,David Ferrer,John Isner,20151105 1828,1.69,2.46,20151106 1613,1.6,2.66,20151105 1828,1.69,20151106 0921,2.72
20151102,Paris Masters,Andy Murray,Richard Gasquet,20151105 1431,1.23,5.4,20151106 1309,1.25,4.9,20151106 1308,1.26,20151106 0708,5.5
20151102,Paris Masters,Novak Djokovic,Stanislas Wawrinka,20151107 0029,1.21,5.7,20151107 1608,1.17,6.8,20151107 0029,1.21,20151107 1454,7.2
20151102,Paris Masters,Andy Murray,David Ferrer,20151114 2206,1.36,2.58,20151116 1409,1.27,4.7,20151114 2207,1.37,20151116 1232,4.8
20151102,Paris Masters,Novak Djokovic,Andy Murray,20151107 1837,1.3,4.3,20151108 1413,1.29,4.5,20151107 1912,1.32,20151108 1048,4.8
20151026,Valencia,Daniel Brands,Nick Kyrgios,20151026 2136,3.9,1.35,20151027 1600,3.55,1.39,20151026 2136,3.9,20151027 1345,1.49
